abc command read data/library/mcnc.genlib
Entered genlib library with 23 gates from file "data/library/mcnc.genlib".
abc command read_blif data/su/rca32.blif
abc command print_stats
[1;37mrca32                         :[0m i/o =   64/   33  lat =    0  nd =   298  edge =    585  area =666.00  delay =16.10  lev = 12
--------------- round 1 ---------------
seed = 2531465778
maxLevel = 8
0,-nan,-nan
0,-nan,-nan
1,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
3,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
5,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
7,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
9,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
11,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
13,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
17,1,0
22,1,0
33,1,0
34,1,0
34,1,0
34,1,0
34,1,0
35,1,0
36,1,0
36,1,0
36,1,0
36,1,0
36,1,0
36,1,0
36,1,0
37,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
39,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
41,1,0
42,1,0
42,1,0
42,1,0
42,1,0
42,1,0
43,1,0
44,1,0
44,1,0
44,1,0
44,1,0
47,1,0
47,1,0
47,1,0
57,1,0
58,1,0
58,1,0
58,1,0
58,1,0
58,1,0
58,1,0
59,1,0
60,1,0
60,1,0
60,1,0
60,1,0
60,1,0
60,1,0
60,1,0
61,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
63,1,0
64,1,0
64,1,0
64,1,0
64,1,0
64,1,0
67,1,0
73,1,0
79,1,0
82,1,0
83,1,0
94,1,0
94,1,0
94,1,0
94,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
95,1,0
96,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
101,1,0
104,1,0
106,1,0
106,1,0
111,1,0
112,1,0
112,1,0
112,1,0
112,1,0
112,1,0
112,1,0
113,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
114,1,0
118,1,0
124,1,0
128,1,0
134,1,0
135,1,0
142,1,0
142,1,0
142,1,0
142,1,0
143,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
145,1,0
146,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
147,1,0
150,1,0
157,1,0
166,1,0
172,1,0
175,1,0
175,1,0
175,1,0
175,1,0
176,1,0
178,1,0
179,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
180,1,0
183,1,0
183,1,0
183,1,0
183,1,0
n356 is replaced by zero with estimated error 0.00013
error = 0.00013
area = 661
delay = 16
#gates = 298
output circuit appNtk/rca32_1_0.00013_661_16.blif
time = 2379752 us
--------------- round 2 ---------------
seed = 2531465778
maxLevel = 8
183,1,0
183,1,0
184,1,0
185,1,0
185,1,0
185,1,0
185,1,0
185,1,0
186,1,0
187,1,0
187,1,0
187,1,0
187,1,0
187,1,0
187,1,0
187,1,0
187,1,0
187,1,0
187,1,0
188,1,0
189,1,0
189,1,0
189,1,0
189,1,0
189,1,0
189,1,0
189,1,0
190,1,0
191,1,0
191,1,0
191,1,0
191,1,0
191,1,0
191,1,0
191,1,0
191,1,0
191,1,0
191,1,0
192,1,0
193,1,0
193,1,0
193,1,0
193,1,0
193,1,0
194,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
195,1,0
196,1,0
197,1,0
197,1,0
197,1,0
197,1,0
197,1,0
200,1,0
205,1,0
216,1,0
217,1,0
217,1,0
217,1,0
217,1,0
218,1,0
219,1,0
219,1,0
219,1,0
219,1,0
219,1,0
219,1,0
